#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
168,Cayman Islands,31472,0,37,0,8553,0,22882,1,467797,550,222773,3311280,67277,0,2,1818,0,0,0,340116
169,Saint Lucia,30215,0,410,0,29805,0,0,0,163225,2215,210983,1139752,185113,0,6,451,1,0,0,0
170,Benin,28036,0,163,0,27847,0,26,0,2193,13,604310,47268,12784726,0,456,78434,21,0,0,2
171,Macao,27673,0,123,0,3487,0,24063,0,41458,184,7850,11760,667490,0,24,5427,85,0,0,36050
172,Somalia,27334,0,1361,0,13182,0,12791,0,1623,81,400466,23778,16841795,0,616,12375,42,0,0,759
173,Micronesia,26547,0,65,0,0,0,0,0,225953,553,82430,701598,117489,0,4,1808,1,0,0,162271
174,San Marino,26185,0,128,0,26011,0,46,0,768226,3755,196855,5775414,34085,0,1,266,0,0,0,1350
175,Solomon Islands,25954,0,199,0,0,0,0,0,35989,276,0,0,721159,0,28,3624,0,0,0,13032
176,Congo,25375,0,386,0,24006,0,983,0,4377,67,347815,59991,5797805,0,228,15020,17,0,0,170
177,Timor-Leste,23460,0,138,0,23102,0,220,0,17131,101,278529,203391,1369429,0,58,9923,5,0,0,161
178,Burkina Faso,22114,0,400,0,21596,0,118,0,1001,18,248995,11265,22102838,0,999,55257,89,0,0,5
179,Liechtenstein,21574,0,94,0,0,0,0,0,562013,2449,112457,2929559,38387,0,2,408,0,0,0,3334
180,Gibraltar,20550,0,113,0,0,0,0,0,609720,3353,534283,15852213,33704,0,2,298,0,0,0,114467
181,Grenada,19693,0,238,0,19358,0,97,4,173545,2097,182981,1612523,113475,0,6,477,1,0,0,855
182,Bermuda,18860,0,165,0,18685,0,10,0,304493,2664,1029558,16622128,61939,0,3,375,0,0,0,161
183,South Sudan,18819,0,147,0,18115,0,557,1,1620,13,410280,35313,11618511,0,617,79037,28,0,0,48
184,Nicaragua,18491,0,225,0,4225,0,14041,0,2728,33,0,0,6779100,0,367,30129,0,0,0,2071
185,Tajikistan,17786,0,125,0,17264,0,397,0,1786,13,0,0,9957464,0,560,79660,0,0,0,40
186,Equatorial Guinea,17229,0,183,0,16907,0,139,5,11512,122,365697,244342,1496662,0,87,8178,4,0,0,93
